,0,1,accuracy,macro avg,weighted avg
precision,0.8987341772151899,0.8952380952380953,0.8967391304347826,0.8969861362266426,0.8967961317713657
recall,0.8658536585365854,0.9215686274509803,0.8967391304347826,0.8937111429937828,0.8967391304347826
f1-score,0.8819875776397516,0.9082125603864735,0.8967391304347826,0.8951000690131126,0.8965253398145647
support,82.0,102.0,0.8967391304347826,184.0,184.0
