,0,1,accuracy,macro avg,weighted avg
precision,0.8795180722891566,0.9108910891089109,0.8967391304347826,0.8952045806990337,0.8969096359609771
recall,0.8902439024390244,0.9019607843137255,0.8967391304347826,0.896102343376375,0.8967391304347826
f1-score,0.8848484848484849,0.9064039408866995,0.8967391304347826,0.8956262128675923,0.896797705043582
support,82.0,102.0,0.8967391304347826,184.0,184.0
