,0,1,accuracy,macro avg,weighted avg
precision,0.75,0.8333333333333334,0.7934782608695652,0.7916666666666667,0.7961956521739131
recall,0.8048780487804879,0.7843137254901961,0.7934782608695652,0.794595887135342,0.7934782608695652
f1-score,0.7764705882352941,0.8080808080808081,0.7934782608695652,0.7922756981580511,0.7939936448887855
support,82.0,102.0,0.7934782608695652,184.0,184.0
